date,code,peTTM
2021-09-30,sh.603558,-8.320357
2021-09-30,sz.002196,-8.161599
2021-09-30,sz.300169,-8.109833
2021-09-30,sz.000572,-8.069061
2021-09-30,sz.002094,-7.967623
2021-09-30,sz.002621,-7.889507
2021-09-30,sz.000151,-7.808159
2021-09-30,sz.300242,-7.788589
2021-09-30,sh.600108,-7.762422
2021-09-30,sz.000981,-7.695498
2021-09-30,sz.000796,-7.668202
2021-09-30,sz.300098,-7.654859
2021-09-30,sz.002786,-7.606452
2021-09-30,sh.603813,-7.592384
2021-09-30,sz.300140,-7.545468
2021-09-30,sz.300254,-7.545135
2021-09-30,sh.600777,-7.509516
2021-09-30,sz.000428,-7.495033
2021-09-30,sz.002369,-7.358857
2021-09-30,sh.600537,-7.320482
2021-09-30,sh.601068,-7.245563
2021-09-30,sh.600595,-7.219682
2021-09-30,sz.002514,-7.117089
2021-09-30,sz.002739,-7.021981
2021-09-30,sh.600289,-6.986543
2021-09-30,sh.603557,-6.978645
2021-09-30,sz.002694,-6.941909
2021-09-30,sh.600226,-6.929705
2021-09-30,sz.002343,-6.909827
2021-09-30,sh.600778,-6.697811
2021-09-30,sz.300465,-6.685072
2021-09-30,sz.300230,-6.682883
2021-09-30,sz.300716,-6.631205
2021-09-30,sz.300199,-6.60375
2021-09-30,sz.300250,-6.460007
2021-09-30,sz.300344,-6.455606
2021-09-30,sz.300478,-6.439291
2021-09-30,sz.000972,-6.373314
2021-09-30,sz.300061,-6.295542
2021-09-30,sz.002024,-6.145049
2021-09-30,sz.000040,-6.127557
2021-09-30,sz.002005,-6.104611
2021-09-30,sh.603603,-6.075639
2021-09-30,sz.300434,-6.045835
2021-09-30,sh.600139,-6.026751
2021-09-30,sz.000506,-6.024157
2021-09-30,sh.600601,-5.958332
2021-09-30,sz.000566,-5.725481
2021-09-30,sh.600375,-5.719408
2021-09-30,sh.603188,-5.635753
2021-09-30,sh.600198,-5.619721
2021-09-30,sz.300262,-5.604819
2021-09-30,sz.300268,-5.578943
2021-09-30,sh.600653,-5.560042
2021-09-30,sh.600070,-5.559508
2021-09-30,sz.000918,-5.549477
2021-09-30,sz.002356,-5.520708
2021-09-30,sh.600816,-5.491947
2021-09-30,sz.300287,-5.255066
2021-09-30,sz.300340,-5.213201
2021-09-30,sz.002510,-5.21059
2021-09-30,sh.603608,-5.196045
2021-09-30,sz.300353,-5.185432
2021-09-30,sz.300370,-5.18521
2021-09-30,sz.000571,-5.181297
2021-09-30,sh.600515,-5.133356
2021-09-30,sz.002564,-5.059508
2021-09-30,sz.002482,-5.026464
2021-09-30,sz.000564,-4.969096
2021-09-30,sz.002341,-4.968112
2021-09-30,sh.603133,-4.95339
2021-09-30,sz.002383,-4.931895
2021-09-30,sz.002630,-4.89397
2021-09-30,sz.300278,-4.853936
2021-09-30,sz.002072,-4.833476
2021-09-30,sz.002118,-4.82775
2021-09-30,sz.000802,-4.822825
2021-09-30,sz.300108,-4.782103
2021-09-30,sz.000665,-4.762697
2021-09-30,sz.002494,-4.672476
2021-09-30,sz.300367,-4.633925
2021-09-30,sz.002473,-4.55788
2021-09-30,sh.600321,-4.54444
2021-09-30,sz.002235,-4.475012
2021-09-30,sz.000150,-4.457968
2021-09-30,sz.300309,-4.450458
2021-09-30,sz.300312,-4.432351
2021-09-30,sh.600331,-4.429903
2021-09-30,sz.002464,-4.413883
2021-09-30,sh.600856,-4.409506
2021-09-30,sz.002547,-4.336081
2021-09-30,sz.300324,-4.332182
2021-09-30,sz.002699,-4.294904
2021-09-30,sz.000892,-4.284384
2021-09-30,sz.300276,-4.245706
2021-09-30,sz.300184,-4.092105
2021-09-30,sz.002685,-4.04147
2021-09-30,sh.603803,-3.893973
2021-09-30,sh.600726,-3.88904
2021-09-30,sz.002848,-3.845926
2021-09-30,sz.000839,-3.778558
2021-09-30,sz.002592,-3.727987
2021-09-30,sz.002530,-3.6703
2021-09-30,sz.002086,-3.658582
2021-09-30,sz.000413,-3.561034
2021-09-30,sz.000908,-3.502995
2021-09-30,sz.000609,-3.473611
2021-09-30,sz.002872,-3.415578
2021-09-30,sz.300603,-3.367983
2021-09-30,sz.300157,-3.356101
2021-09-30,sz.002217,-3.348431
2021-09-30,sz.300325,-3.316708
2021-09-30,sz.300145,-3.277576
2021-09-30,sz.300148,-3.218946
2021-09-30,sz.002366,-3.20394
2021-09-30,sz.002316,-3.159361
2021-09-30,sz.000676,-3.158303
2021-09-30,sh.600393,-3.037931
2021-09-30,sz.002642,-3.004382
2021-09-30,sz.002591,-3.002171
2021-09-30,sz.300256,-2.990576
2021-09-30,sz.002707,-2.985313
2021-09-30,sz.002470,-2.960663
2021-09-30,sh.600666,-2.89613
2021-09-30,sh.600734,-2.806825
2021-09-30,sz.002168,-2.79391
2021-09-30,sz.300013,-2.780434
2021-09-30,sz.000835,-2.77913
2021-09-30,sz.002776,-2.760753
2021-09-30,sz.300164,-2.757239
2021-09-30,sz.002427,-2.73486
2021-09-30,sh.600293,-2.695656
2021-09-30,sz.300297,-2.673812
2021-09-30,sz.000620,-2.661953
2021-09-30,sh.600805,-2.624837
2021-09-30,sz.002781,-2.604761
2021-09-30,sz.000415,-2.600608
2021-09-30,sh.600807,-2.593829
2021-09-30,sz.000692,-2.586273
2021-09-30,sh.600239,-2.56197
2021-09-30,sz.002147,-2.547549
2021-09-30,sz.002358,-2.536533
2021-09-30,sh.600311,-2.535566
2021-09-30,sz.300338,-2.525698
2021-09-30,sz.002682,-2.524688
2021-09-30,sz.002172,-2.512425
2021-09-30,sz.002619,-2.496752
2021-09-30,sz.300159,-2.440181
