date,code,pbMRQ
2021-09-30,sh.600703,4.737317
2021-09-30,sh.600704,1.295931
2021-09-30,sh.600705,1.011314
2021-09-30,sh.600706,1.488472
2021-09-30,sh.600707,1.277465
2021-09-30,sh.600708,0.474938
2021-09-30,sh.600710,1.667988
2021-09-30,sh.600711,2.853985
2021-09-30,sh.600712,2.311422
2021-09-30,sh.600713,1.077610
2021-09-30,sh.600714,5.101305
2021-09-30,sh.600715,1.949697
2021-09-30,sh.600716,0.646126
2021-09-30,sh.600717,0.721297
2021-09-30,sh.600718,1.372381
2021-09-30,sh.600719,2.162496
2021-09-30,sh.600720,1.061132
2021-09-30,sh.600721,2.909306
2021-09-30,sh.600722,4.439191
2021-09-30,sh.600723,1.469122
2021-09-30,sh.600724,1.871555
2021-09-30,sh.600725,15.354789
2021-09-30,sh.600726,45.030062
2021-09-30,sh.600727,2.331846
2021-09-30,sh.600728,2.501803
2021-09-30,sh.600729,1.881406
2021-09-30,sh.600730,1.867921
2021-09-30,sh.600731,2.263065
2021-09-30,sh.600732,5.821488
2021-09-30,sh.600733,4.331253
2021-09-30,sh.600734,-1.190409
2021-09-30,sh.600735,2.377314
2021-09-30,sh.600736,0.684576
2021-09-30,sh.600737,1.984593
2021-09-30,sh.600738,2.403786
2021-09-30,sh.600739,1.511187
2021-09-30,sh.600740,1.792528
2021-09-30,sh.600741,1.347466
2021-09-30,sh.600742,0.931455
2021-09-30,sh.600743,0.543972
2021-09-30,sh.600744,4.951064
2021-09-30,sh.600745,3.831539
2021-09-30,sh.600746,3.962802
2021-09-30,sh.600748,0.678292
2021-09-30,sh.600749,2.257977
2021-09-30,sh.600750,1.853892
2021-09-30,sh.600751,1.988491
2021-09-30,sh.600753,24.860379
2021-09-30,sh.600754,2.927509
2021-09-30,sh.600755,0.950455
2021-09-30,sh.600756,1.963002
2021-09-30,sh.600757,0.800985
2021-09-30,sh.600758,1.154212
2021-09-30,sh.600759,1.535364
2021-09-30,sh.600760,12.433046
2021-09-30,sh.600761,1.408758
2021-09-30,sh.600763,38.711903
2021-09-30,sh.600764,2.709292
2021-09-30,sh.600765,3.627415
2021-09-30,sh.600766,16.709662
2021-09-30,sh.600767,10.331709
2021-09-30,sh.600768,5.121893
2021-09-30,sh.600769,32.414104
2021-09-30,sh.600770,2.086907
2021-09-30,sh.600771,5.741964
2021-09-30,sh.600773,5.970506
2021-09-30,sh.600774,6.985632
2021-09-30,sh.600775,1.765107
2021-09-30,sh.600776,4.362348
2021-09-30,sh.600777,1.536162
2021-09-30,sh.600778,2.034072
2021-09-30,sh.600779,32.233884
2021-09-30,sh.600780,0.949084
2021-09-30,sh.600781,0.536625
2021-09-30,sh.600782,0.910788
2021-09-30,sh.600783,2.580335
2021-09-30,sh.600784,1.772640
2021-09-30,sh.600785,1.273431
2021-09-30,sh.600787,1.067353
2021-09-30,sh.600789,1.877281
2021-09-30,sh.600790,0.778107
2021-09-30,sh.600791,1.091079
2021-09-30,sh.600792,1.421028
2021-09-30,sh.600793,4.241029
2021-09-30,sh.600794,1.741531
2021-09-30,sh.600795,1.151767
2021-09-30,sh.600796,2.999188
2021-09-30,sh.600797,1.634419
2021-09-30,sh.600798,1.596015
2021-09-30,sh.600800,1.952773
2021-09-30,sh.600801,1.803550
2021-09-30,sh.600802,1.881147
2021-09-30,sh.600803,4.113491
2021-09-30,sh.600804,4.772971
2021-09-30,sh.600805,0.729892
2021-09-30,sh.600807,8.138624
2021-09-30,sh.600808,1.188813
2021-09-30,sh.600809,29.170707
2021-09-30,sh.600810,1.847252
2021-09-30,sh.600811,0.537053
2021-09-30,sh.600812,2.312291
2021-09-30,sh.600814,1.495803
2021-09-30,sh.600815,3.737095
2021-09-30,sh.600816,-108.477376
2021-09-30,sh.600817,3.785806
2021-09-30,sh.600818,4.050004
2021-09-30,sh.600819,1.479354
2021-09-30,sh.600820,0.745766
2021-09-30,sh.600821,3.282675
2021-09-30,sh.600822,5.121573
2021-09-30,sh.600823,0.485448
2021-09-30,sh.600824,1.455152
2021-09-30,sh.600825,1.732946
2021-09-30,sh.600826,1.235115
2021-09-30,sh.600827,1.458421
2021-09-30,sh.600828,0.926542
2021-09-30,sh.600829,1.706417
2021-09-30,sh.600830,1.044324
2021-09-30,sh.600831,1.006161
2021-09-30,sh.600833,2.597634
2021-09-30,sh.600834,3.086728
2021-09-30,sh.600835,1.251675
2021-09-30,sh.600836,3.620937
2021-09-30,sh.600837,1.002660
2021-09-30,sh.600838,1.706571
2021-09-30,sh.600839,1.014744
2021-09-30,sh.600841,4.112227
2021-09-30,sh.600843,1.798998
2021-09-30,sh.600844,3.122094
2021-09-30,sh.600845,13.774341
2021-09-30,sh.600846,1.587155
2021-09-30,sh.600847,1.915220
2021-09-30,sh.600848,2.557751
2021-09-30,sh.600850,4.485840
2021-09-30,sh.600851,2.813080
2021-09-30,sh.600853,1.307569
2021-09-30,sh.600854,0.854188
2021-09-30,sh.600855,3.156589
2021-09-30,sh.600856,-15.869667
